省属,府直隶州,州县,清真寺名称,,,,,
湖北,襄阳府,襄阳县,樊城清真寺,,,,,
湖北,襄阳府,襄阳县,襄城清真寺,,,,,
湖北,襄阳府,襄阳县,双沟清真寺,,,,,
湖北,襄阳府,南漳县,武镇清真寺,,,,,
湖北,襄阳府,枣阳县,枣阳顺城清真寺,,,,,
湖北,襄阳府,枣阳县,逯堂镇西寺,,,,,
湖北,襄阳府,宜城县,袁家垸清真寺,,,,,
湖北,襄阳府,光化县,老河口清真寺,,,,,
湖北,襄阳府,谷城县,谷城清真寺,,,,,
湖北,汉阳府,汉阳县,民权路清真寺（广益桥清真寺）,,,,,
湖北,武昌府,,金龙巷清真寺,,,,,
湖北,武昌府,,起义街清真寺,,,,,
湖北,汉阳府,汉川县,清真寺,,,,,
湖北,汉阳府,汉川县,清真寺,,,,,
湖北,汉阳府,沔阳州,沔城清真东寺,,,,,
湖北,汉阳府,沔阳州,沔城清真西寺,,,,,
湖北,汉阳府,沔阳州,红庙清真寺,,,,,
湖北,汉阳府,沔阳州,魏家湾清真寺,,,,,
湖北,汉阳府,沔阳州,通海口清真寺,,,,,
湖北,汉阳府,沔阳州,李湾清真寺,,,,,
湖北,汉阳府,沔阳州,黄马沟清真寺,,,,,
湖北,汉阳府,沔阳州,新堤镇清真寺,,,,,
湖北,汉阳府,沔阳州,珂里清真寺,,,,,
湖北,汉阳府,沔阳州,月堤清真寺,,,,,
湖北,汉阳府,沔阳州,吕蒙口清真寺,,,,,
湖北,荆州府,,沙洋镇清真寺,,,,,
湖北,安陆府,,熊口镇清真寺,,,,,
湖北,荆州府,江陵县,荆州清真寺,,,,,
湖北,安陆府,钟祥县,九里清真寺,,,,,
湖北,荆州府,松滋县,西斋清真寺,,,,,
湖北,安陆府,天门县,岳口镇清真寺,,,,,
湖北,郧阳府,郧西县,西川清真寺,,,,,
湖北,郧阳府,郧西县,红岩东寺,,,,,
湖北,郧阳府,郧西县,十八盘清真寺,,,,,
湖北,郧阳府,郧县,城关镇清真寺,,,,,
湖北,郧阳府,房县,城关镇清真寺,,,,,
湖北,郧阳府,竹溪县,城关镇清真寺,,,,,
湖北,宜昌府,东湖县,清真寺,,,,,
山西,太原府,阳曲县,清真古寺,,,,,
山西,大同府,,清真寺,,,,,
山西,大同府,,清真寺,,,,,
山西,太原府,,清真寺,,,,,
山西,潞安府,,清真北寺,,,,,
山西,潞安府,,清真南寺,,,,,
山西,泽州府,,东关清真寺,,,,,
山西,平阳府,,曲沃清真寺,,,,,
山西,归绥六厅绥远厅,,清真大寺,,,,,
山西,归绥六厅绥远厅,,清真东寺,,,,,
山西,归绥六厅（绥远还是归化待查,,清真西寺,,,,,
山西,归绥六厅归化厅,,清真南寺,,,,,
山西,归绥六厅绥远厅,,呼和浩特新城清真寺,,,,,
山西,归绥六厅,,托克托清真寺,,,,,
山西,归绥六厅萨拉齐厅,,包头清真大寺,,,,,
山西,归绥六厅萨拉齐厅,,包头瓦窑沟清真寺,,,,,
山西,丰镇直隶厅,,丰镇城关镇清真寺,,,,,
山西,丰镇直隶厅,,隆盛庄清真寺,,,,,
广东,广州府,新安县,九龙清真寺,,,,,
广东,广州府,新安县,香港回教清真礼拜总堂（些利街清真寺）,,,,,
广东,广州府,,清真寺,,,,,
广东,广州府,,清真寺,,,,,
广东,广州府,,清真寺,,,,,
广东,广州府,,清真寺,,,,,
广东,广州府,,怀圣寺（光塔寺）,,,,,
广东,广州府,,濠畔清真寺,,,,,
广东,广州府,,小东营清真寺,,,,,
广东,广州府,,南胜清真寺,,,,,
广东,广州府,,东郊清真寺,,,,,
广东,肇庆府,端州,城东清真寺,,,,,
广东,肇庆府,端州,城西清真寺,,,,,
广东,崖州,,清真古寺（东庙）,,,,,
广东,崖州,崖州,清真北寺,,,,,
广东,崖州,崖州,清真南寺,,,,,
广东,崖州,崖州,清真西寺,,,,,
广东,崖州,崖州,南开清真寺,,,,,
浙江,杭州府,,真教寺,,,,,
浙江,杭州府,,清真寺,,,,,
浙江,杭州府,,清真寺,,,,,
浙江,杭州府,,清真寺,,,,,
浙江,杭州府,,清真寺,,,,,
浙江,杭州府,,清真寺,,,,,
浙江,杭州府,,回回拜佛堂,,,,,
浙江,宁波府,鄞县,清真寺,,,,,
浙江,温州府,,清真寺,,,,,
浙江,嘉兴府,,清真寺,,,,,
浙江,处州府,丽水县,清真寺,,,,,
浙江,衢州府,西安县,清真寺,,,,,
福建,台湾府,鹿港,清真寺,,,,,
福建,泉州府,惠安,清真寺,,,,,
福建,泉州府,,清真寺,,,,,
福建,福州府,,清真寺,,,,,
福建,邵武府,,清真寺,,,,,
福建,厦门,,清真寺,,,,,
江苏,江宁府,,净觉寺,,,,,
